S,T,result,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
textos/file1s.txt,textos/file2s.txt,18,273726,12827.4,261226,263705,273072,283094,287532
textos/file1s.txt,textos/file3s.txt,31,2.76895e+10,3.66072e+08,2.71592e+10,2.76025e+10,2.78079e+10,2.78949e+10,2.7983e+10
textos/file2s.txt,textos/file1s.txt,18,304477,10827.5,294360,298234,302038,308282,319471
textos/file2s.txt,textos/file3s.txt,29,6.0559e+06,54226.2,5.98155e+06,6.03283e+06,6.07104e+06,6.09412e+06,6.09997e+06
textos/file3s.txt,textos/file1s.txt,31,2.62265e+10,2.48025e+08,2.59707e+10,2.61091e+10,2.61855e+10,2.63029e+10,2.65641e+10
textos/file3s.txt,textos/file2s.txt,29,5.96622e+06,22399.7,5.94144e+06,5.95048e+06,5.96741e+06,5.98314e+06,5.98861e+06
